DEPARTAMENTO	band2006	band2007	band2008	band2009	band2010	band2011	band2012	band2013	band2014	band2015
Amazonas	32	8	18	2	4	4	2	19	18	27
Áncash	10	27	42	22	105	64	99	59	59	100
Apurímac		0	2	0	9	2	2	6	5	11
Arequipa	32	73	54	65	206	163	262	195	200	335
Ayacucho	37	23	31	43	41	17	50	46	20	30
Cajamarca	28	9	9	15	18	43	54	33	84	91
Callao	7	8	22	18	28	16	36	217	42	97
Cusco	2	21	0	237	283	532	487	381	87	101
Huancavelica		0	19	3	25	2	3	5	3	1
Huánuco	38	27	30	7	14	42	87	88	125	126
Ica	31	28	8	39	55	32	58	94	92	59
Junín	21	17	13	10	33	44	131	131	148	88
La Libertad	115	44	83	171	122	17	17	42	19	37
Lambayeque	52	58	0	143	195	122	388	106	400	333
Lima	612	477	842	806	944	821	1588	2180	1438	1045
Loreto	5	1	4	11	39	115	204	138	193	172
Madre de Dios		1	0	9	4	1	7	7	28	7
Moquegua	6	7	7	6	3	5	9	4	18	15
Pasco	5	4	3	10	4	0	1	19	20	5
Piura	36	57	101	85	87	103	152	217	84	54
Puno	6	2	25	61	97	80	105	16	20	12
San Martín	72	31	52	71	46	29	49	42	46	70
Tacna	5	4	0	10	6	6	6	24	19	46
Tumbes	8	5	33	49	56	34	49	41	20	6
Ucayali		2	4	9	55	57	18	191	409	384
